Designator,Value,Footprint,Manufacturer,Manufacturer Part Number,Supplier,Supplier Part Number,Quantity

"C1","22nF","0805 - Capacitor","","","","311-3547-1-ND","1"
"C2","2.2uF","0805 - Capacitor","","","","311-3420-1-ND","1"
"C3","10nF","0805 - Capacitor","","","","311-1136-1-ND","1"
"C4","100nF","0805 - Capacitor","","","","311-1140-1-ND","1"
"C5","270pF","0805 - Capacitor","","","","311-1191-1-ND","1"
"C6","100uF","1206 - Capacitor","","","Digi-Key","445-6007-1-ND","1"
"C7","120pF","0805 - Capacitor","","","","311-1112-1-ND","1"
"C8","2.7nF","0805 - Capacitor","","","","311-1130-1-ND","1"
"D1","","SMA - DIODE","","","","1655-10TQ045SCT-ND","1"
"F1, F2","","3557-2","","","Digikey, [NoValue]","36-3557-2-ND","2"
"L1","33uH","MSS1210 - INDUCTOR","","","Mouser","994-MSS1210-333MEB","1"
"P1, P2","","B4B-XH","","","","455-2249-ND","2"
"P3, P4, P5, P6, P8","","7760","","","Digikey, [NoParam]","36-7760-ND","5"
"R1, R2","5m","0603 - Resistor","","","Digikey","CSRF0603FT5L00CT-ND","2"
"R3","20.5k","0603 - Resistor","","","","311-20.5KHRCT-ND","1"
"R4","3.09k","0603 - Resistor","","","","311-3.09KHRCT-ND","1"
"R5","1k","0805 - Resistor","","","","311-1.00KHRCT-ND","1"
"R6","19.1k","0603 - Resistor","","","","311-19.1KHRCT-ND","1"
"R7","75k","0603 - Resistor","","","","P75KBYCT-ND","1"
"R8, R9, R10","10k","0603 - Resistor","","","Digikey, [NoValue]","311-10.0KHRCT-ND","3"
"U1","","LM5005","Texas Instruments","LM5005MHX/NOPB","Digi-Key","LM5005MHX/NOPBCT-ND","1"
